County,March,April,May,June,July,August,September,March_umemployment,April_umemployment,May_umemployment,June_umemployment,July_umemployment,August_umemployment,Septembe_umemployment
Kitsap County,0.037941158,0.018049677,0.004051968,0.03425755,0.161710373,0.125242658,0.089143303,4.2,14.5,13.2,8.2,9.4,7.6,6.8
Kittitas County,0.022947742,0.022947742,0.022947742,0.022947742,0.022947742,0.022947742,0.022947742,5.5,15.9,14.2,9.2,11.7,9.6,7
Klickitat County,0.040133779,0.03567447,0.053511706,0.178372352,0.182831661,0.325529543,0.062430323,5.5,11.9,11.8,9.2,10.4,8.2,6.7
Lewis County,0.014868599,0.019824798,0.009912399,0.055757245,0.148685988,0.190813684,0.302328175,6.2,16.6,15.7,10.1,11.3,9.1,8.1
Lincoln County,0.009141603,0.009141603,0,0.018283207,0.118840845,0.137124052,0.246823293,5.6,11.5,9.9,6.5,8.2,6.3,5.4
Mason County,0.020968128,0.019470405,0.014977235,0.028456746,0.178229092,0.215672178,0.166247304,6.1,16.3,14.7,10.4,12,9.8,9.2
Okanogan County,0.011836281,0.044977866,0.071017683,0.210685794,1.657079279,0.546836162,0.033141586,7.9,14.8,13.7,9.8,11.5,9.3,7.6
Pacific County,0,0.017800721,0.022250901,0.035601442,0.111254506,0.080103244,0.124605047,6.7,17,17.1,12.4,12.8,10.8,9.5
Pend Oreille County,0,0.014573011,0.007286505,0.007286505,0.240454678,0.131157097,0.153016613,7.8,15.8,14.9,10.5,14.3,11.3,9.5
Pierce County,0.0688413,0.097902716,0.054255343,0.085416252,0.281000685,0.179119981,0.140997591,4.9,18.7,16.9,11.3,12.1,10,8.6
San Juan County,0.039813446,0.039813446,0.005687635,0.02275054,0.051188716,0.005687635,0,4.3,17.8,16.1,10,9.8,7.8,6.7
Skagit County,0.120738362,0.146279169,0.071978639,0.082814133,0.22290159,0.157888627,0.065786928,5.2,19.1,16.5,11.1,12,9.6,8.2
Skamania County,0.00827609,0.016552181,0,0.033104361,0.388976248,0.033104361,0.057932633,5.1,14.7,15,10.3,12,10.2,8.9
Snohomish County,0.174070015,0.132468376,0.058388265,0.080527149,0.186842448,0.131130312,0.10144961,5.9,19.2,16.2,10.2,8.7,7.7,7.5
Spokane County,0.036534187,0.035386516,0.049732401,0.194721479,0.461554941,0.260903829,0.355204113,5.1,16.7,15.1,9.7,11.3,9.1,7.7
Stevens County,0.010935415,0.008748332,0.004374166,0.026244997,0.14872165,0.08529624,0.131224985,7.7,16.4,13.5,9,11.1,9.1,7.8
Thurston County,0.02168406,0.017209571,0.014800231,0.04577746,0.122532147,0.103601619,0.079164028,4.6,15.9,14.2,8.9,10.3,8.2,7.1
Wahkiakum County,0.02228164,0.02228164,0.04456328,0.04456328,0,0.02228164,0,6.9,13.8,13.7,9.3,11.6,8.7,8.4
Walla Walla County,0.013166557,0.12837393,0.04279131,0.12837393,0.464121132,0.492100066,0.2600395,4.5,12.2,10.7,6.7,8.4,6.9,5.8
Whatcom County,0.07851793,0.059324659,0.037077912,0.10861647,0.121702792,0.082007616,0.118213106,4.7,17.7,15.6,10.3,11.6,9.3,8
Whitman County,0.021954335,0.007983395,0.009979243,0.041912821,0.113763372,1.161583905,1.391106498,3.7,8.3,7.3,6,8,5.9,5.4
Yakima County,0.102442272,0.443252163,1.041562862,1.558557517,0.885707111,0.350775093,0.203290111,6.7,14.3,13.9,11,12.4,10,7.2
